ID No,X,Y,pH,EC ,%OC,AN,P205,K2O
106,79.515092,18.095497,6.77,0.31,0.26,79,71,200
107,79.51615,18.09515,6.69,0.3,0.28,97,62,191
108,79.517786,18.095583,6.69,0.31,0.22,81,75,190
109,79.517025,18.097192,6.77,0.28,0.23,89,60,190
110,79.517856,18.099983,7.19,0.66,0.46,150,135,311
111,79.518786,18.102386,7.19,0.66,0.48,144,135,360
112,79.519289,18.104283,7.18,0.61,0.55,133,123,350
113,79.519939,18.106547,7.2,0.66,0.52,139,129,355
114,79.520925,18.108414,7.2,0.61,0.54,145,132,380
115,79.521886,18.109906,7.55,1.18,0.38,119,98,232
116,79.519992,18.108725,7.2,0.61,0.47,150,140,360
117,79.521058,18.110619,7.56,1.16,0.4,112,100,222
118,79.522033,18.112403,7.55,1.18,0.38,115,92,220
119,79.515919,18.097153,6.79,0.29,0.29,98,75,190
120,79.517453,18.099194,7.18,0.62,0.49,143,125,362
121,79.5167,18.099333,7.19,0.61,0.47,143,137,295
122,79.517422,18.101431,7.16,0.66,0.47,140,140,371
123,79.518369,18.103442,7.17,0.63,0.55,150,140,311
124,79.518969,18.10575,7.17,0.63,0.53,139,128,300
125,79.515253,18.097339,6.77,0.31,0.28,95,75,180
126,79.515922,18.099306,7.21,0.7,0.55,130,136,353
127,79.516344,18.102058,7.21,0.7,0.55,135,140,322
128,79.517483,18.103628,7.19,0.68,0.51,132,129,313
129,79.516389,18.104358,7.22,0.67,0.53,132,128,360
130,79.517442,18.106014,7.21,0.69,0.49,138,138,300
131,79.519164,18.107547,7.22,0.7,0.5,147,139,370
132,79.518119,18.108075,7.19,0.7,0.46,150,139,350
133,79.51855,18.109753,7.19,0.71,0.54,150,140,341
134,79.519953,18.110428,7.22,0.72,0.54,149,129,344
135,79.519356,18.111733,7.22,0.72,0.49,141,126,305
136,79.520903,18.112853,7.53,1.19,0.38,117,99,260
137,79.520072,18.113639,7.23,0.72,0.49,140,140,290
138,79.522233,18.113903,7.56,1.17,0.39,119,110,250
139,79.523119,18.115856,7.56,1.2,0.4,109,103,269
140,79.522456,18.116622,7.55,1.2,0.4,105,107,260
141,79.521792,18.115039,7.54,1.17,0.36,115,97,215
142,79.521364,18.1164,7.54,1.15,0.39,114,96,233
143,79.520831,18.115308,7.23,0.71,0.55,150,140,300
144,79.514547,18.097503,6.77,0.33,0.27,98,75,180
145,79.514419,18.098589,6.79,0.31,0.3,94,66,180
146,79.515461,18.099136,7.18,0.73,0.45,135,130,295
147,79.516503,18.100731,7.19,0.71,0.48,138,125,295
148,79.514756,18.100583,7.22,0.73,0.51,148,129,308
149,79.515467,18.102519,7.23,0.75,0.48,146,126,344
150,79.513903,18.100983,7.22,0.72,0.52,141,140,365
151,79.513306,18.101083,7.21,0.72,0.52,150,137,356
152,79.514636,18.102367,7.22,0.74,0.55,150,129,344
153,79.513644,18.102681,7.25,0.75,0.49,149,129,380
154,79.515461,18.104486,7.25,0.73,0.51,139,140,380
155,79.516314,18.106089,7.26,0.7,0.54,140,140,380
156,79.517019,18.108189,7.24,0.75,0.49,142,133,380
157,79.517889,18.11065,7.23,0.75,0.46,150,138,366
158,79.518681,18.112669,7.77,1.47,0.72,166,165,499
159,79.519169,18.114331,7.78,1.47,0.71,179,155,520
160,79.519814,18.115831,7.21,0.78,0.45,130,125,350
161,79.513761,18.1047,7.21,0.78,0.45,130,129,350
162,79.514825,18.106436,7.23,0.77,0.53,143,133,366
163,79.515458,18.108653,7.22,0.75,0.49,148,126,370
164,79.515989,18.110783,7.77,1.49,0.69,189,150,510
165,79.516919,18.113336,7.77,1.49,0.66,170,162,577
166,79.517897,18.115531,7.78,1.58,0.66,180,158,560
167,79.512289,18.102167,7.25,0.8,0.55,148,136,319
168,79.512589,18.105219,7.28,0.8,0.55,137,140,380
169,79.51365,18.1079,7.22,0.89,0.5,150,126,371
170,79.514022,18.110511,7.77,1.63,0.71,166,155,580
171,79.514772,18.113419,7.78,1.62,0.69,188,155,568
172,79.516336,18.115892,7.79,1.6,0.66,188,162,550
173,79.510569,18.102114,7.79,1.63,0.72,185,158,499
174,79.510917,18.10465,7.79,1.59,0.72,177,160,542
175,79.511803,18.106831,7.79,1.63,0.68,188,165,580
176,79.512564,18.109222,7.79,1.56,0.65,169,161,570
177,79.513058,18.111342,7.78,1.68,0.69,173,157,570
178,79.5136,18.113964,7.79,1.65,0.7,179,151,550
179,79.515533,18.117847,7.78,1.63,0.72,181,155,580
180,79.514264,18.116414,7.79,1.59,0.66,189,165,558
181,79.509086,18.103042,7.8,1.6,0.64,190,163,566
182,79.509711,18.105486,7.8,1.63,0.7,190,164,555
183,79.510419,18.108556,7.8,1.61,0.72,192,157,579
184,79.511364,18.110878,7.78,1.54,0.68,197,157,561
185,79.512264,18.113564,7.78,1.68,0.68,176,165,573
186,79.512764,18.116583,7.8,1.52,0.72,179,150,580
187,79.506583,18.1019,7.81,1.64,0.65,171,157,577
188,79.507403,18.104803,7.82,1.65,0.62,186,151,577
189,79.5086,18.108036,7.81,1.66,0.71,183,161,566
190,79.509125,18.111144,7.81,1.66,0.7,189,160,561
191,79.51005,18.113878,7.82,1.65,0.66,176,165,580
192,79.511531,18.117164,7.82,1.68,0.64,182,155,580
193,79.503639,18.100936,7.8,1.59,0.69,179,159,574
194,79.503994,18.104714,7.79,1.58,0.66,185,162,544
195,79.506336,18.107711,7.8,1.58,0.71,188,160,555
196,79.507483,18.113478,7.82,1.59,0.7,189,160,580
197,79.506081,18.111172,7.82,1.57,0.65,189,155,539
198,79.502572,18.109914,7.82,1.59,0.7,170,159,580
199,79.501431,18.106747,7.82,1.63,0.72,181,165,580
200,79.500256,18.103817,7.82,1.68,0.72,189,159,564
